INFO:root:Prior distribution: exponential
INFO:root:Prior mu: 1.0
INFO:root:Prior sigma: 2.0
INFO:root:Start running ...
INFO:root:Restoring vars from ./example_models/pre_vae/snapshots/_vars_464000.p
INFO:root:Restoring disc vars from ./example_models/pre_disc/snapshots/_disc_vars_50880.p
INFO:root:iter: 31, style_loss: nan, style_accu: 0.5059 pt_loss: nan, recon_loss: 0.6059, kld: nan, ind_loss: 0.5543, style_recon_loss: 0.3904, temp_o: 1.0000
INFO:root:iter: 32, style_loss: nan, style_accu: 0.4785 pt_loss: nan, recon_loss: 0.6917, kld: nan, ind_loss: 0.4841, style_recon_loss: 0.3837, temp_o: 1.0000
INFO:root:iter: 33, style_loss: nan, style_accu: 0.5176 pt_loss: nan, recon_loss: 0.6075, kld: nan, ind_loss: 0.4475, style_recon_loss: 0.3954, temp_o: 1.0000
INFO:root:iter: 34, style_loss: nan, style_accu: 0.5000 pt_loss: nan, recon_loss: 0.5999, kld: nan, ind_loss: 0.5316, style_recon_loss: 0.3837, temp_o: 1.0000
INFO:root:iter: 35, style_loss: nan, style_accu: 0.5234 pt_loss: nan, recon_loss: 0.6003, kld: nan, ind_loss: 0.5578, style_recon_loss: 0.3795, temp_o: 1.0000
INFO:root:iter: 36, style_loss: nan, style_accu: 0.4590 pt_loss: nan, recon_loss: 0.6528, kld: nan, ind_loss: 0.5283, style_recon_loss: 0.3855, temp_o: 1.0000
INFO:root:iter: 37, style_loss: nan, style_accu: 0.4961 pt_loss: nan, recon_loss: 0.6572, kld: nan, ind_loss: 0.5251, style_recon_loss: 0.3879, temp_o: 1.0000
INFO:root:iter: 38, style_loss: nan, style_accu: 0.5039 pt_loss: nan, recon_loss: 0.6413, kld: nan, ind_loss: 0.5647, style_recon_loss: 0.3967, temp_o: 1.0000
INFO:root:iter: 39, style_loss: nan, style_accu: 0.4961 pt_loss: nan, recon_loss: 0.6571, kld: nan, ind_loss: 0.5314, style_recon_loss: 0.3902, temp_o: 1.0000
INFO:root:iter: 40, style_loss: nan, style_accu: 0.5078 pt_loss: nan, recon_loss: 0.6260, kld: nan, ind_loss: 0.5277, style_recon_loss: 0.4304, temp_o: 1.0000
