INFO:root:Prior distribution: normal
INFO:root:Prior mu: 0.0
INFO:root:Prior sigma: 2.0
INFO:root:Start running ...
INFO:root:Restoring vars from ./example_models/pre_vae/snapshots/_vars_464000.p
INFO:root:Restoring disc vars from ./example_models/pre_disc/snapshots/_disc_vars_50880.p
INFO:root:iter: 28, style_loss: 417.5070, style_accu: 0.5117 pt_loss: 415.8819, recon_loss: 1.7364, kld: 4546.7129, ind_loss: 1.4982, style_recon_loss: 0.4812, temp_o: 1.0000
INFO:root:iter: 29, style_loss: 384.1435, style_accu: 0.4609 pt_loss: 382.3463, recon_loss: 1.8728, kld: 4175.6357, ind_loss: 1.7575, style_recon_loss: 0.4529, temp_o: 1.0000
INFO:root:iter: 30, style_loss: 332.9176, style_accu: 0.5137 pt_loss: 331.2062, recon_loss: 2.4706, kld: 3606.6992, ind_loss: 1.6858, style_recon_loss: 0.5791, temp_o: 1.0000
INFO:root:iter: 31, style_loss: 300.0764, style_accu: 0.5508 pt_loss: 298.1885, recon_loss: 2.4717, kld: 3242.7639, ind_loss: 2.0981, style_recon_loss: 0.5757, temp_o: 1.0000
INFO:root:iter: 32, style_loss: 257.3195, style_accu: 0.5078 pt_loss: 255.3585, recon_loss: 3.2483, kld: 2762.8037, ind_loss: 2.1126, style_recon_loss: 0.5909, temp_o: 1.0000
INFO:root:iter: 33, style_loss: 249.7110, style_accu: 0.5215 pt_loss: 247.6168, recon_loss: 3.3458, kld: 2675.8433, ind_loss: 2.4681, style_recon_loss: 0.5857, temp_o: 1.0000
INFO:root:iter: 34, style_loss: 210.5767, style_accu: 0.5078 pt_loss: 208.3380, recon_loss: 3.7702, kld: 2238.2612, ind_loss: 2.5345, style_recon_loss: 0.6057, temp_o: 1.0000
INFO:root:iter: 35, style_loss: 190.7199, style_accu: 0.5117 pt_loss: 188.3554, recon_loss: 4.4237, kld: 2010.7336, ind_loss: 2.8654, style_recon_loss: 0.6865, temp_o: 1.0000
INFO:root:iter: 36, style_loss: 194.1661, style_accu: 0.5508 pt_loss: 191.8280, recon_loss: 4.6393, kld: 2046.2058, ind_loss: 2.9714, style_recon_loss: 0.6889, temp_o: 1.0000
INFO:root:iter: 37, style_loss: 173.9657, style_accu: 0.4941 pt_loss: 171.4268, recon_loss: 5.7469, kld: 1809.4075, ind_loss: 3.1177, style_recon_loss: 0.8039, temp_o: 1.0000
INFO:root:iter: 38, style_loss: 163.8277, style_accu: 0.4707 pt_loss: 161.2442, recon_loss: 5.5047, kld: 1698.7179, ind_loss: 3.2612, style_recon_loss: 0.7382, temp_o: 1.0000
INFO:root:iter: 39, style_loss: 175.2169, style_accu: 0.4941 pt_loss: 172.6440, recon_loss: 6.5811, kld: 1811.5529, ind_loss: 3.3046, style_recon_loss: 0.7933, temp_o: 1.0000
INFO:root:iter: 40, style_loss: 180.5553, style_accu: 0.5586 pt_loss: 177.9508, recon_loss: 7.0680, kld: 1864.7153, ind_loss: 3.4212, style_recon_loss: 0.8515, temp_o: 1.0000
INFO:root:iter: 41, style_loss: 167.0116, style_accu: 0.4492 pt_loss: 164.3301, recon_loss: 7.0285, kld: 1715.0878, ind_loss: 3.2597, style_recon_loss: 0.7459, temp_o: 1.0000
INFO:root:iter: 42, style_loss: 162.6572, style_accu: 0.4980 pt_loss: 160.1339, recon_loss: 7.1835, kld: 1667.1599, ind_loss: 3.2105, style_recon_loss: 0.7863, temp_o: 1.0000
