INFO:root:Prior distribution: normal
INFO:root:Prior mu: 0.0
INFO:root:Prior sigma: 1.0
INFO:root:Start running ...
INFO:root:Restoring vars from ./example_models/pre_vae/snapshots/_vars_464000.p
INFO:root:Restoring disc vars from ./example_models/pre_disc/snapshots/_disc_vars_50880.p
INFO:root:iter: 28, style_loss: 298.6399, style_accu: 0.5469 pt_loss: 297.2960, recon_loss: 1.6172, kld: 3243.8457, ind_loss: 1.0502, style_recon_loss: 0.4475, temp_o: 1.0000
INFO:root:iter: 29, style_loss: 262.1655, style_accu: 0.5137 pt_loss: 260.7366, recon_loss: 1.6423, kld: 2840.7910, ind_loss: 1.1197, style_recon_loss: 0.5105, temp_o: 1.0000
INFO:root:iter: 30, style_loss: 251.1064, style_accu: 0.4941 pt_loss: 249.5980, recon_loss: 1.7484, kld: 2717.2549, ind_loss: 1.2123, style_recon_loss: 0.5433, temp_o: 1.0000
INFO:root:iter: 31, style_loss: 216.8104, style_accu: 0.4941 pt_loss: 215.1928, recon_loss: 2.1078, kld: 2334.3486, ind_loss: 1.2325, style_recon_loss: 0.5092, temp_o: 1.0000
INFO:root:iter: 32, style_loss: 195.1556, style_accu: 0.5078 pt_loss: 193.5975, recon_loss: 2.1154, kld: 2096.6201, ind_loss: 1.3324, style_recon_loss: 0.5637, temp_o: 1.0000
INFO:root:iter: 33, style_loss: 177.0647, style_accu: 0.5117 pt_loss: 175.5050, recon_loss: 2.4931, kld: 1893.2865, ind_loss: 1.3270, style_recon_loss: 0.6207, temp_o: 1.0000
INFO:root:iter: 34, style_loss: 166.8231, style_accu: 0.5215 pt_loss: 165.2003, recon_loss: 3.1088, kld: 1772.5594, ind_loss: 1.4154, style_recon_loss: 0.5765, temp_o: 1.0000
INFO:root:iter: 35, style_loss: 158.8063, style_accu: 0.5117 pt_loss: 157.2021, recon_loss: 3.0798, kld: 1683.7671, ind_loss: 1.5069, style_recon_loss: 0.5893, temp_o: 1.0000
INFO:root:iter: 36, style_loss: 146.4478, style_accu: 0.5000 pt_loss: 144.6806, recon_loss: 3.6417, kld: 1540.2449, ind_loss: 1.6137, style_recon_loss: 0.7220, temp_o: 1.0000
INFO:root:iter: 37, style_loss: 137.9666, style_accu: 0.4961 pt_loss: 136.0776, recon_loss: 3.8790, kld: 1442.4333, ind_loss: 1.8781, style_recon_loss: 0.7401, temp_o: 1.0000
INFO:root:iter: 38, style_loss: 139.1628, style_accu: 0.5020 pt_loss: 137.4323, recon_loss: 4.0663, kld: 1454.4695, ind_loss: 1.6521, style_recon_loss: 0.5770, temp_o: 1.0000
INFO:root:iter: 39, style_loss: 129.8633, style_accu: 0.4961 pt_loss: 128.0901, recon_loss: 4.8625, kld: 1343.3370, ind_loss: 1.8197, style_recon_loss: 0.7478, temp_o: 1.0000
INFO:root:iter: 40, style_loss: 133.6238, style_accu: 0.5391 pt_loss: 131.8385, recon_loss: 4.7528, kld: 1385.1294, ind_loss: 1.7374, style_recon_loss: 0.7859, temp_o: 1.0000
