Prior mu: 0.0
Prior sigma: 1.0
INFO:root:Start running ...
INFO:root:Restoring vars from ./example_models/pre_vae/snapshots/_vars_464000.p
INFO:root:Restoring disc vars from ./example_models/pre_disc/snapshots/_disc_vars_50880.p
INFO:root:iter: 29, style_loss: 2.2783, style_accu: 0.5957 pt_loss: 1.5514, recon_loss: 0.1979, kld: 8.2213, ind_loss: 0.2235, style_recon_loss: 0.1360, temp_o: 1.0000
INFO:root:iter: 30, style_loss: 2.2694, style_accu: 0.6367 pt_loss: 1.5507, recon_loss: 0.2080, kld: 8.1950, ind_loss: 0.2390, style_recon_loss: 0.1365, temp_o: 1.0000
INFO:root:iter: 31, style_loss: 2.2352, style_accu: 0.6465 pt_loss: 1.5805, recon_loss: 0.2363, kld: 8.2134, ind_loss: 0.2299, style_recon_loss: 0.1311, temp_o: 1.0000
INFO:root:iter: 32, style_loss: 2.1955, style_accu: 0.6582 pt_loss: 1.5565, recon_loss: 0.2148, kld: 8.1861, ind_loss: 0.2357, style_recon_loss: 0.1308, temp_o: 1.0000
INFO:root:iter: 33, style_loss: 2.1890, style_accu: 0.6270 pt_loss: 1.5343, recon_loss: 0.2002, kld: 8.2075, ind_loss: 0.2386, style_recon_loss: 0.1262, temp_o: 1.0000
INFO:root:iter: 34, style_loss: 2.2510, style_accu: 0.6230 pt_loss: 1.5406, recon_loss: 0.2075, kld: 8.1765, ind_loss: 0.2212, style_recon_loss: 0.1257, temp_o: 1.0000
INFO:root:iter: 35, style_loss: 2.2078, style_accu: 0.6309 pt_loss: 1.5435, recon_loss: 0.2078, kld: 8.1963, ind_loss: 0.2606, style_recon_loss: 0.1206, temp_o: 1.0000
INFO:root:iter: 36, style_loss: 2.2106, style_accu: 0.6348 pt_loss: 1.5269, recon_loss: 0.1919, kld: 8.1600, ind_loss: 0.2088, style_recon_loss: 0.1214, temp_o: 1.0000
INFO:root:iter: 37, style_loss: 2.1427, style_accu: 0.6406 pt_loss: 1.4817, recon_loss: 0.1591, kld: 8.1756, ind_loss: 0.2730, style_recon_loss: 0.1163, temp_o: 1.0000
INFO:root:iter: 38, style_loss: 2.1614, style_accu: 0.6562 pt_loss: 1.5055, recon_loss: 0.1811, kld: 8.1274, ind_loss: 0.2602, style_recon_loss: 0.1190, temp_o: 1.0000
INFO:root:iter: 39, style_loss: 2.1611, style_accu: 0.6250 pt_loss: 1.4887, recon_loss: 0.1672, kld: 8.1348, ind_loss: 0.2421, style_recon_loss: 0.1140, temp_o: 1.0000
INFO:root:iter: 40, style_loss: 2.1460, style_accu: 0.6543 pt_loss: 1.5080, recon_loss: 0.1841, kld: 8.0753, ind_loss: 0.2559, style_recon_loss: 0.1185, temp_o: 1.0000
INFO:root:iter: 41, style_loss: 2.1351, style_accu: 0.6426 pt_loss: 1.5058, recon_loss: 0.1876, kld: 8.0792, ind_loss: 0.1947, style_recon_loss: 0.1158, temp_o: 1.0000
INFO:root:iter: 42, style_loss: 2.1223, style_accu: 0.6680 pt_loss: 1.5093, recon_loss: 0.1934, kld: 8.0172, ind_loss: 0.2398, style_recon_loss: 0.1186, temp_o: 1.0000
INFO:root:iter: 43, style_loss: 2.0729, style_accu: 0.6641 pt_loss: 1.4827, recon_loss: 0.1739, kld: 8.0247, ind_loss: 0.2150, style_recon_loss: 0.1172, temp_o: 1.0000
INFO:root:iter: 44, style_loss: 2.0713, style_accu: 0.6816 pt_loss: 1.4896, recon_loss: 0.1833, kld: 7.9663, ind_loss: 0.2405, style_recon_loss: 0.1182, temp_o: 1.0000
INFO:root:iter: 45, style_loss: 2.0983, style_accu: 0.6855 pt_loss: 1.4894, recon_loss: 0.1821, kld: 7.9774, ind_loss: 0.1823, style_recon_loss: 0.1172, temp_o: 1.0000
INFO:root:iter: 46, style_loss: 2.0858, style_accu: 0.6738 pt_loss: 1.4640, recon_loss: 0.1709, kld: 7.9230, ind_loss: 0.2431, style_recon_loss: 0.1182, temp_o: 1.0000
INFO:root:iter: 47, style_loss: 2.1005, style_accu: 0.6855 pt_loss: 1.5004, recon_loss: 0.1994, kld: 7.9359, ind_loss: 0.2562, style_recon_loss: 0.1181, temp_o: 1.0000
INFO:root:iter: 48, style_loss: 2.0835, style_accu: 0.6641 pt_loss: 1.4861, recon_loss: 0.1871, kld: 7.8844, ind_loss: 0.1903, style_recon_loss: 0.1196, temp_o: 1.0000
INFO:root:iter: 49, style_loss: 2.0625, style_accu: 0.6582 pt_loss: 1.4439, recon_loss: 0.1601, kld: 7.9052, ind_loss: 0.2087, style_recon_loss: 0.1179, temp_o: 1.0000
INFO:root:iter: 50, style_loss: 2.0612, style_accu: 0.6855 pt_loss: 1.4736, recon_loss: 0.1861, kld: 7.8548, ind_loss: 0.1827, style_recon_loss: 0.1197, temp_o: 1.0000
INFO:root:iter: 51, style_loss: 2.0111, style_accu: 0.6738 pt_loss: 1.4520, recon_loss: 0.1599, kld: 7.8785, ind_loss: 0.1576, style_recon_loss: 0.1160, temp_o: 1.0000
INFO:root:iter: 52, style_loss: 2.0561, style_accu: 0.6797 pt_loss: 1.4673, recon_loss: 0.1738, kld: 7.8294, ind_loss: 0.2112, style_recon_loss: 0.1185, temp_o: 1.0000
INFO:root:iter: 53, style_loss: 2.0106, style_accu: 0.6719 pt_loss: 1.4479, recon_loss: 0.1640, kld: 7.8570, ind_loss: 0.1936, style_recon_loss: 0.1129, temp_o: 1.0000
INFO:root:iter: 54, style_loss: 2.0194, style_accu: 0.6816 pt_loss: 1.4496, recon_loss: 0.1670, kld: 7.8070, ind_loss: 0.1957, style_recon_loss: 0.1168, temp_o: 1.0000
INFO:root:iter: 55, style_loss: 2.0053, style_accu: 0.6758 pt_loss: 1.4434, recon_loss: 0.1630, kld: 7.8346, ind_loss: 0.1959, style_recon_loss: 0.1097, temp_o: 1.0000
INFO:root:iter: 56, style_loss: 2.0285, style_accu: 0.6738 pt_loss: 1.4395, recon_loss: 0.1613, kld: 7.7913, ind_loss: 0.1976, style_recon_loss: 0.1144, temp_o: 1.0000
INFO:root:iter: 57, style_loss: 1.9800, style_accu: 0.6699 pt_loss: 1.4394, recon_loss: 0.1695, kld: 7.8223, ind_loss: 0.1822, style_recon_loss: 0.1056, temp_o: 1.0000
INFO:root:iter: 58, style_loss: 2.0422, style_accu: 0.6836 pt_loss: 1.4625, recon_loss: 0.1865, kld: 7.7744, ind_loss: 0.2184, style_recon_loss: 0.1121, temp_o: 1.0000
INFO:root:iter: 59, style_loss: 1.9766, style_accu: 0.6699 pt_loss: 1.4338, recon_loss: 0.1626, kld: 7.8050, ind_loss: 0.1757, style_recon_loss: 0.1028, temp_o: 1.0000
INFO:root:iter: 60, style_loss: 1.9735, style_accu: 0.6855 pt_loss: 1.4419, recon_loss: 0.1673, kld: 7.7592, ind_loss: 0.1736, style_recon_loss: 0.1109, temp_o: 1.0000
INFO:root:iter: 61, style_loss: 1.9374, style_accu: 0.6855 pt_loss: 1.4229, recon_loss: 0.1523, kld: 7.7904, ind_loss: 0.1797, style_recon_loss: 0.1014, temp_o: 1.0000
INFO:root:iter: 62, style_loss: 1.9789, style_accu: 0.6914 pt_loss: 1.4331, recon_loss: 0.1588, kld: 7.7480, ind_loss: 0.1773, style_recon_loss: 0.1092, temp_o: 1.0000
INFO:root:iter: 63, style_loss: 1.8961, style_accu: 0.6875 pt_loss: 1.4027, recon_loss: 0.1390, kld: 7.7734, ind_loss: 0.1733, style_recon_loss: 0.1004, temp_o: 1.0000
INFO:root:iter: 64, style_loss: 1.9628, style_accu: 0.6797 pt_loss: 1.4310, recon_loss: 0.1608, kld: 7.7245, ind_loss: 0.1688, style_recon_loss: 0.1078, temp_o: 1.0000
INFO:root:iter: 65, style_loss: 1.9553, style_accu: 0.6914 pt_loss: 1.4287, recon_loss: 0.1609, kld: 7.7480, ind_loss: 0.1692, style_recon_loss: 0.1004, temp_o: 1.0000
INFO:root:iter: 66, style_loss: 1.9478, style_accu: 0.7070 pt_loss: 1.4468, recon_loss: 0.1655, kld: 7.6985, ind_loss: 0.1577, style_recon_loss: 0.1078, temp_o: 1.0000
INFO:root:iter: 67, style_loss: 1.9321, style_accu: 0.7051 pt_loss: 1.4284, recon_loss: 0.1628, kld: 7.7215, ind_loss: 0.1873, style_recon_loss: 0.1015, temp_o: 1.0000
INFO:root:iter: 68, style_loss: 1.9486, style_accu: 0.7070 pt_loss: 1.4290, recon_loss: 0.1642, kld: 7.6744, ind_loss: 0.1543, style_recon_loss: 0.1088, temp_o: 1.0000
INFO:root:iter: 69, style_loss: 1.8698, style_accu: 0.7109 pt_loss: 1.4116, recon_loss: 0.1444, kld: 7.7001, ind_loss: 0.1972, style_recon_loss: 0.1032, temp_o: 1.0000
INFO:root:iter: 70, style_loss: 1.8559, style_accu: 0.7227 pt_loss: 1.3999, recon_loss: 0.1430, kld: 7.6524, ind_loss: 0.1285, style_recon_loss: 0.1094, temp_o: 1.0000
INFO:root:iter: 71, style_loss: 1.8790, style_accu: 0.6934 pt_loss: 1.4086, recon_loss: 0.1534, kld: 7.6731, ind_loss: 0.1383, style_recon_loss: 0.1041, temp_o: 1.0000
INFO:root:iter: 72, style_loss: 1.8919, style_accu: 0.7051 pt_loss: 1.3935, recon_loss: 0.1360, kld: 7.6240, ind_loss: 0.1884, style_recon_loss: 0.1099, temp_o: 1.0000
