INFO:root:Prior distribution: beta
INFO:root:Prior mu: 1.0
INFO:root:Prior sigma: 2.0
INFO:root:Start running ...
INFO:root:Restoring vars from ./example_models/pre_vae/snapshots/_vars_464000.p
INFO:root:Restoring disc vars from ./example_models/pre_disc/snapshots/_disc_vars_50880.p
INFO:root:iter: 31, style_loss: nan, style_accu: 0.4980 pt_loss: nan, recon_loss: 0.7130, kld: nan, ind_loss: 0.4226, style_recon_loss: 0.3827, temp_o: 1.0000
INFO:root:iter: 32, style_loss: nan, style_accu: 0.4648 pt_loss: nan, recon_loss: 0.6694, kld: nan, ind_loss: 0.6345, style_recon_loss: 0.3299, temp_o: 1.0000
INFO:root:iter: 33, style_loss: nan, style_accu: 0.4980 pt_loss: nan, recon_loss: 0.6842, kld: nan, ind_loss: 0.4725, style_recon_loss: 0.3550, temp_o: 1.0000
INFO:root:iter: 34, style_loss: nan, style_accu: 0.5176 pt_loss: nan, recon_loss: 0.5853, kld: nan, ind_loss: 0.4716, style_recon_loss: 0.3516, temp_o: 1.0000
INFO:root:iter: 35, style_loss: nan, style_accu: 0.4941 pt_loss: nan, recon_loss: 0.6315, kld: nan, ind_loss: 0.4600, style_recon_loss: 0.3614, temp_o: 1.0000
INFO:root:iter: 36, style_loss: nan, style_accu: 0.4883 pt_loss: nan, recon_loss: 0.6803, kld: nan, ind_loss: 0.4790, style_recon_loss: 0.3374, temp_o: 1.0000
INFO:root:iter: 37, style_loss: nan, style_accu: 0.5176 pt_loss: nan, recon_loss: 0.7322, kld: nan, ind_loss: 0.4290, style_recon_loss: 0.3827, temp_o: 1.0000
INFO:root:iter: 38, style_loss: nan, style_accu: 0.5234 pt_loss: nan, recon_loss: 0.6153, kld: nan, ind_loss: 0.5282, style_recon_loss: 0.3881, temp_o: 1.0000
INFO:root:iter: 39, style_loss: nan, style_accu: 0.4785 pt_loss: nan, recon_loss: 0.7112, kld: nan, ind_loss: 0.4271, style_recon_loss: 0.3842, temp_o: 1.0000
INFO:root:iter: 40, style_loss: nan, style_accu: 0.5098 pt_loss: nan, recon_loss: 0.7190, kld: nan, ind_loss: 0.3959, style_recon_loss: 0.4027, temp_o: 1.0000
INFO:root:iter: 41, style_loss: nan, style_accu: 0.4902 pt_loss: nan, recon_loss: 0.7414, kld: nan, ind_loss: 0.6081, style_recon_loss: 0.3904, temp_o: 1.0000
INFO:root:iter: 42, style_loss: nan, style_accu: 0.5098 pt_loss: nan, recon_loss: 0.7700, kld: nan, ind_loss: 0.4630, style_recon_loss: 0.3626, temp_o: 1.0000
INFO:root:iter: 43, style_loss: nan, style_accu: 0.4863 pt_loss: nan, recon_loss: 0.6784, kld: nan, ind_loss: 0.4968, style_recon_loss: 0.3639, temp_o: 1.0000
INFO:root:iter: 44, style_loss: nan, style_accu: 0.4824 pt_loss: nan, recon_loss: 0.6907, kld: nan, ind_loss: 0.4556, style_recon_loss: 0.3403, temp_o: 1.0000
INFO:root:iter: 45, style_loss: nan, style_accu: 0.5156 pt_loss: nan, recon_loss: 0.7269, kld: nan, ind_loss: 0.4466, style_recon_loss: 0.3752, temp_o: 1.0000
INFO:root:iter: 46, style_loss: nan, style_accu: 0.4785 pt_loss: nan, recon_loss: 0.6991, kld: nan, ind_loss: 0.5407, style_recon_loss: 0.3744, temp_o: 1.0000
INFO:root:iter: 47, style_loss: nan, style_accu: 0.4805 pt_loss: nan, recon_loss: 0.7606, kld: nan, ind_loss: 0.4713, style_recon_loss: 0.3669, temp_o: 1.0000
INFO:root:iter: 48, style_loss: nan, style_accu: 0.4863 pt_loss: nan, recon_loss: 0.7340, kld: nan, ind_loss: 0.4383, style_recon_loss: 0.3694, temp_o: 1.0000
INFO:root:iter: 49, style_loss: nan, style_accu: 0.5176 pt_loss: nan, recon_loss: 0.7210, kld: nan, ind_loss: 0.4238, style_recon_loss: 0.3746, temp_o: 1.0000
INFO:root:iter: 50, style_loss: nan, style_accu: 0.4922 pt_loss: nan, recon_loss: 0.7494, kld: nan, ind_loss: 0.4617, style_recon_loss: 0.3643, temp_o: 1.0000
INFO:root:iter: 51, style_loss: nan, style_accu: 0.5020 pt_loss: nan, recon_loss: 0.6974, kld: nan, ind_loss: 0.4577, style_recon_loss: 0.3486, temp_o: 1.0000
